iter	Passed	Remaining
0	4	487
1	8	430
2	12	418
3	15	379
4	19	378
5	27	436
6	32	431
7	37	430
8	42	429
9	47	426
10	52	425
11	57	425
12	62	419
13	67	415
14	72	410
15	77	405
16	81	397
17	85	390
18	89	380
19	93	373
20	97	367
21	101	359
22	105	352
23	109	347
24	118	354
25	123	350
26	127	345
27	132	341
28	137	337
29	142	331
30	146	325
31	149	318
32	153	311
33	156	303
34	159	296
35	163	289
36	166	283
37	169	277
38	173	271
39	176	265
40	179	258
41	181	250
42	184	243
43	187	238
44	190	232
45	193	226
46	196	221
47	199	215
48	202	210
49	205	205
50	208	200
51	211	195
52	214	190
53	217	185
54	219	179
55	222	174
56	225	170
57	228	165
58	234	162
59	238	159
60	242	155
61	248	152
62	253	149
63	257	144
64	262	141
65	267	137
66	271	133
67	276	129
68	279	125
69	283	121
70	287	117
71	290	113
72	294	108
73	297	104
74	301	100
75	305	96
76	308	92
77	313	88
78	316	84
79	321	80
80	324	76
81	328	72
82	333	68
83	337	64
84	341	60
85	344	56
86	348	52
87	352	48
88	356	44
89	360	40
90	363	35
91	367	31
92	371	27
93	375	23
94	379	19
95	383	15
96	387	11
97	391	7
98	394	3
99	397	0
